Format Version,1.23,Take Name,C22_F_5,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2026-07-09 10.06.40.803 AM,Capture Start Frame,120210,Total Frames in Take,7364,Total Exported Frames,7364,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.080000,327.026825,213.167923,86.292847,261.683258,175.044968,85.196800,248.195129,213.744156,85.266808,255.424469,261.400208,85.415321,264.063141,212.189209,84.729446,311.612427,211.307587,85.490715,320.889038,261.070618,86.773766,288.160675,261.235352,85.759346,313.273560,173.763962,86.494652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.085000,327.030060,213.174561,86.284393,261.682037,175.044296,85.194420,248.191055,213.741409,85.273186,255.421463,261.403015,85.421082,264.052307,212.174316,84.725563,311.537170,211.243362,85.531815,320.889038,261.068542,86.767563,288.156738,261.234467,85.762184,313.274506,173.764832,86.499596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.090000,327.031342,213.172287,86.293098,261.677948,175.046021,85.192062,248.185806,213.748367,85.279747,255.424911,261.393219,85.415802,264.052795,212.173721,84.724510,311.546082,211.229553,85.516228,320.890533,261.070404,86.772079,288.155182,261.226624,85.760223,313.263641,173.777130,86.501099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.095000,327.028931,213.177094,86.295120,261.680573,175.044449,85.194695,248.189804,213.743332,85.275070,255.421692,261.403168,85.422203,264.059906,212.178528,84.726707,311.609253,211.301483,85.483421,320.889648,261.069794,86.770012,288.155670,261.228333,85.760811,313.265717,173.777390,86.504898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.100000,327.028290,213.182892,86.298912,261.680176,175.042877,85.195572,248.192169,213.740417,85.273178,255.426285,261.402924,85.419556,264.058655,212.175919,84.727592,311.606964,211.320541,85.493614,320.886292,261.072693,86.778412,288.159363,261.232635,85.758255,313.264709,173.780624,86.504707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.105000,327.026917,213.176758,86.294441,261.676910,175.039154,85.193588,248.190704,213.746338,85.273903,255.421875,261.402283,85.426918,264.129181,212.269791,84.717339,311.531311,211.250946,85.536743,320.888245,261.076569,86.776093,288.161346,261.236023,85.759865,313.272186,173.768555,86.495430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.110000,327.027466,213.173965,86.285728,261.679749,175.037216,85.189957,248.190659,213.737717,85.273438,255.422379,261.405762,85.421341,264.136963,212.274673,84.710052,311.621521,211.291595,85.474464,320.893219,261.068268,86.772713,288.161621,261.229462,85.760544,313.278351,173.759583,86.494316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.115000,327.023926,213.168472,86.290192,261.675903,175.037796,85.192230,248.191650,213.741989,85.269737,255.423126,261.405914,85.424858,264.064209,212.178970,84.723122,311.610840,211.314072,85.485619,320.887054,261.062531,86.775688,288.159851,261.229645,85.753326,313.280457,173.756577,86.485275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.120000,327.026581,213.174576,86.290573,261.678223,175.048080,85.192215,248.193069,213.747009,85.274750,255.419464,261.409363,85.425995,264.050293,212.170303,84.726707,311.610474,211.314880,85.492729,320.881500,261.071655,86.777565,288.158936,261.232513,85.758514,313.288116,173.749603,86.486847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.125000,327.027710,213.180893,86.297943,261.680389,175.037247,85.193413,248.189987,213.741653,85.276459,255.429031,261.397583,85.420341,264.001862,212.207245,84.776131,311.612274,211.312714,85.491608,320.885284,261.076843,86.779076,288.156647,261.226013,85.759933,313.277435,173.764420,86.495728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
