rawData = [
446,16.80,0.95
447,16.80,0.77
448,16.78,0.85
449,16.80,0.89
450,16.80,0.94
451,16.79,0.98
452,16.84,0.86
453,16.84,0.87
454,16.80,0.92
455,16.80,0.98
456,16.79,0.79
457,16.80,0.90
458,16.80,0.92
459,16.79,1.01
460,16.79,0.83
461,16.84,0.86
462,16.82,0.86
463,16.82,0.92
464,16.83,1.08
465,16.84,0.77
466,16.83,0.86
467,16.83,0.90
468,16.83,0.95
469,16.81,0.75
470,16.83,0.80
471,16.83,0.91
472,16.83,0.90
473,16.84,0.76
474,16.82,0.78
475,16.84,0.87
476,16.84,0.86
477,16.82,0.75
478,16.83,0.82
479,16.83,0.93
480,16.82,0.88
481,16.84,0.93
482,16.81,0.77
483,16.82,0.78
484,16.81,0.82
485,16.79,0.86
486,16.81,0.73
487,16.81,0.78
488,16.81,0.82
489,16.82,0.88
490,16.82,0.95
491,16.83,0.75
492,16.82,0.81
493,16.78,0.87
494,16.79,1.24
495,16.79,0.74
496,16.79,0.85
497,16.79,0.85
498,16.78,1.23
499,16.78,0.73
500,16.78,0.82
501,16.78,0.85
502,16.78,0.95
503,16.78,0.73
504,16.78,0.79
505,16.79,0.83
506,16.79,0.90
507,16.78,0.96
508,16.78,0.74
509,16.77,0.86
510,16.77,0.85
511,16.77,0.95
512,16.77,0.76
513,16.77,0.84
514,16.78,0.85
515,16.75,0.93
516,16.75,0.78
517,16.76,0.80
518,16.76,0.87
519,16.76,0.92
520,16.77,0.80
521,16.76,0.81
522,16.77,0.86
523,16.74,0.89
524,16.74,0.76
525,16.75,0.79
526,16.76,0.88
527,16.76,0.85
528,16.76,0.95
529,16.76,0.74
530,16.74,0.79
531,16.75,0.85
532,16.73,1.17
533,16.74,0.77
534,16.73,0.80
535,16.74,0.86
536,16.74,0.85
537,16.72,0.68
538,16.72,0.73
539,16.72,0.78
540,16.74,0.80
541,16.74,0.88
542,16.73,0.69
543,16.72,0.77
544,16.73,0.80
545,16.72,0.88
546,16.72,0.69
547,16.71,0.76
548,16.73,0.78
549,16.73,0.84
550,16.73,0.68
551,16.72,0.76
552,16.72,0.77
553,16.73,0.82
554,16.72,0.83
555,16.71,0.68
556,16.72,0.73
557,16.74,0.80
558,16.73,0.84
559,16.73,0.65
560,16.72,0.66
561,16.72,0.75
562,16.73,0.77
563,16.70,0.64
564,16.71,0.65
565,16.71,0.74
566,16.69,0.77
567,16.69,0.84
568,16.70,0.64
569,16.71,0.70
570,16.72,0.72
571,16.71,0.82
572,16.71,0.66
573,16.71,0.73
574,16.70,0.74
575,16.71,0.82
576,16.71,0.63
577,16.72,0.70
578,16.71,0.72
579,16.70,0.78
580,16.70,0.81
581,16.68,0.67
582,16.68,0.70
583,16.69,0.76
584,16.69,0.76
585,16.68,0.63
586,16.67,0.65
587,16.67,0.68
588,16.66,0.72
589,16.66,0.78
590,16.66,0.63
591,16.66,0.66
592,16.64,0.72
593,16.64,0.73
594,16.64,0.62
